Vertex 920.135 244.07
21.5206 652.181 4.4891 641.823
4.4891 641.823 -14.9478 630.507
-14.9478 630.507 -37.0778 617.999
-37.0778 617.999 -57.8582 606.469
Vertex 598.214 838.463
540.395 812.842 541.005 820.413
541.005 820.413 540.601 831.867
540.601 831.867 541.005 820.413
541.005 820.413 540.601 831.867
540.601 831.867 538.405 843.115
538.405 843.115 534.324 854.974
534.324 854.974 529.377 865.943
549.394 794.331 548.406 796.498
548.406 796.498 541.973 809.786
541.973 809.786 548.406 796.498
548.406 796.498 541.973 809.786
541.973 809.786 540.395 812.842
648.907 763.636 629.228 768.412
629.228 768.412 611.265 773.144
611.265 773.144 594.775 777.951
594.775 777.951 579.133 783.046
579.133 783.046 594.775 777.951
594.775 777.951 579.133 783.046
579.133 783.046 563.67 788.661
563.67 788.661 549.394 794.331
648.907 763.636 nan nan
648.907 763.636 658.222 768.774
658.222 768.774 675.78 778.626
675.78 778.626 694.29 789.211
694.29 789.211 714.212 800.781
714.212 800.781 724.832 807.006
683.672 861.44 nan nan
683.672 861.44 685.97 856.907
685.97 856.907 693.713 844.231
693.713 844.231 703.623 830.99
703.623 830.99 715.889 816.683
715.889 816.683 724.832 807.006
535.008 873.276 537.508 873.551
537.508 873.551 555.939 875.368
555.939 875.368 572.127 876.492
572.127 876.492 586.693 876.89
586.693 876.89 600.387 876.518
600.387 876.518 586.693 876.89
586.693 876.89 600.387 876.518
600.387 876.518 614.034 875.329
614.034 875.329 628.46 873.276
628.46 873.276 644.414 870.316
644.414 870.316 662.519 866.413
662.519 866.413 683.255 861.541
683.255 861.541 683.672 861.44
535.008 873.276 nan nan
535.008 873.276 530.348 867.166
530.348 867.166 529.377 865.943
Vertex 503.375 903.748
444.744 881.929 nan nan
444.744 881.929 446.785 873.472
446.785 873.472 450.349 857.776
450.349 857.776 450.916 855.172
474.511 853.274 nan nan
474.511 853.274 470.949 853.523
470.949 853.523 453.502 854.939
453.502 854.939 450.916 855.172
529.377 865.943 524.086 865.056
524.086 865.056 511.883 862.734
511.883 862.734 524.086 865.056
524.086 865.056 511.883 862.734
511.883 862.734 499.763 860.01
499.763 860.01 486.808 856.693
486.808 856.693 474.511 853.274
535.008 873.276 nan nan
535.008 873.276 530.348 867.166
530.348 867.166 529.377 865.943
532.311 905.661 nan nan
532.311 905.661 533.531 899.299
533.531 899.299 534.891 885.37
534.891 885.37 535.008 873.276
444.744 881.929 447.024 883.493
447.024 883.493 462.639 894.023
462.639 894.023 475.534 902.266
475.534 902.266 486.07 908.246
486.07 908.246 494.833 912.005
494.833 912.005 502.684 913.604
502.684 913.604 494.833 912.005
494.833 912.005 502.684 913.604
502.684 913.604 510.681 913.117
510.681 913.117 519.883 910.617
519.883 910.617 531.15 906.166
531.15 906.166 532.311 905.661
Vertex 287.722 662.829
368.429 621.267 350.631 616.968
350.631 616.968 333.513 612.759
333.513 612.759 317.855 608.814
317.855 608.814 302.972 604.953
302.972 604.953 317.855 608.814
317.855 608.814 302.972 604.953
302.972 604.953 288.119 600.979
288.119 600.979 272.55 596.696
272.55 596.696 255.58 591.923
255.58 591.923 236.622 586.505
236.622 586.505 224.912 583.128
387.688 692.602 382.689 676.563
382.689 676.563 377.592 658.924
377.592 658.924 373.129 641.811
373.129 641.811 377.592 658.924
377.592 658.924 373.129 641.811
373.129 641.811 369.141 624.581
369.141 624.581 368.429 621.267
387.688 692.602 nan nan
387.688 692.602 387.32 695.94
387.32 695.94 385.594 715.104
385.594 715.104 384.369 735.562
384.369 735.562 384.159 740.295
384.159 740.295 nan nan
384.159 740.295 377.244 750.658
377.244 750.658 366.364 768.112
366.364 768.112 355.491 786.944
355.491 786.944 354.716 788.338
340.185 795.501 349.932 790.638
349.932 790.638 354.716 788.338
191.624 699.208 204.48 704.798
204.48 704.798 220.845 712.362
220.845 712.362 235.635 719.841
